review,rating
I love this game cause it's the best and you get prizes it's the funniest game and if you don't have wifi u can still play get it now.,5
it is what it is,3
one of the best,1
it is a very excellent game,5
"Game is crashing in b/w loading ads or in during game insanely , please fix this issue ASAP!!?",3
"I love the game but I made it to 71,586 score witch is way higher than the normal one.",4
"The game is good, I don't mind the optional ads at all. BUT the new update ads CANNOT be closed for some reason. I think that the large size of the ad hides the X button, leaving you with no choice but to restart the game. Which SUCKS when you're in the middle of a high-scoring run. I hope this gets fixed sooner because this would be really irritating if you don't have anymore keys.",1
good to play whenni have no internet,5
i like this game 🎮 because this app is updated and I mostly like the 'soda rush' level. love from India 🇮🇳,5
If it wasn't for the stupid google play tournament I would never play this ad infested garbage... Uninstalling once it's over PRONTO,1
nice game and amazing,5
"wow.....very nice game ,next level fantasy",5
this game is epic,5
Very nice game. Recommend To Play,5
there are new levels I love to play this game I never bored while playing this game you can try this game there are many new levels like easterland Osaka Paris New York many more you can try this game you are not board while playing this game,5
I love subway surfers,5
Nice game 🎮,5
I love this game so so much 😍,5
"I hate this game, It was good but then Google flagged it as bad so I had to delete and reinstall it, when I log back in none of my stuff was there anymore. I lost all my progress. all my achievements ,everything, I spent 2 years on that account",1
very fun and classic,5
Love and I like the Tokyo update the police guy.,5
it's a real great game for everyone to play it takes the boredom away,5
i almost got in trouble because i have parental controls and it had removed it and some how made it so that i could watch youtube and do stuff that im not aloud to do,1
this is a really fun game to play offline and online!😁😁😁😆😆😆,5
"So far so Good please make it more competitive for Multiplayers matchmaking without a ticket, make it like Mobile Legend Match Making with ranks and Classic Style giving players a ranking or badge what so ever that will be interesting for SBYO.",5
"PLEASE STOP RUNNING THE ""SERVED BY META"" ADS! They're majorly bugged and you cannot exit them without closing the game meaning you lose progress from your previous run if you get one of these stupid ads forced after a run. They have literally rendered the game unplayable for me. I really want the earth day frame and some characters from this update but it's looking unlikely I'll be able to get them with these ""meta"" ads making my game unplayable. VERY annoyed >:(",1
it's really good,5
Was once Great and Fun,3
Best and most fun and enjoyable game !❤️❤️❤️,5
"I think that this game is one of my best game because whenever I play this game I can never leave it and I put on my earpiece so that I do not get distracted , and secondly my sister likes the game.",4
"perfect, beyond five star",5
It's fun to play when you have nothing to do,5
it is so fun it relaxes your body and I mean it really gets you it just makes me I can't get the word out but yeah by the way I'm a 8-year-old if you didn't know if you think I'm not I'm using the speaker okay let me stop talking,5
it's fun and distracts me not in bad way and you can play without internet,5
love this game,5
good could be better,4
Subway surfers is the best game ever I have played in this game the best feature is the coins you can collect many coins till you die it gets fast as you play,5
Great,4
my one of fav game on 2026✨️,5
great game that has a lot of nostalgia. I'm glad that they've kept the original essence of the game throughout the years,5
the best game i became a good person when I grow up playing this,5
i love this game favorite time pacer,5
